x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.1,2022-01-01 00:00:00,ON,2022,1,1,1.8,,-1.8,,5.3,,1.6,,,,,,,,5,,46,,0,,16.2,,74,,99,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.2,2022-01-02 00:00:00,ON,2022,1,2,-6.1,,-10.3,,-1.8,,0.2,,,,,,,,32,,59,,0,,24.1,,51,,83,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.3,2022-01-03 00:00:00,ON,2022,1,3,-7.8,,-12.3,,-3.3,,0,,,,,,,,22,,46,,0,,25.8,,50,,72,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.4,2022-01-04 00:00:00,ON,2022,1,4,-0.8,,-4.9,,3.3,,0,,,,,,,,23,,42,,0,,18.8,,60,,77,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.5,2022-01-05 00:00:00,ON,2022,1,5,0.3,,-4.2,,4.8,,0,,,,,,,,24,,68,,0,,17.7,,56,,89,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.6,2022-01-06 00:00:00,ON,2022,1,6,-3.5,,-6.1,,-0.9,,0,,,,,,,,25,,63,,0,,21.5,,60,,76,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.7,2022-01-07 00:00:00,ON,2022,1,7,-7.9,,-11.3,,-4.4,,0,,,,,,,,27,,54,,0,,25.9,,49,,78,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.8,2022-01-08 00:00:00,ON,2022,1,8,-5.3,,-12.7,,2.1,,0.2,,,,,,,,21,,54,,0,,23.3,,53,,87,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.9,2022-01-09 00:00:00,ON,2022,1,9,-1.1,,-6.5,,4.3,,0,,,,,,,,31,,72,,0,,19.1,,50,,96,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.10,2022-01-10 00:00:00,ON,2022,1,10,-11.4,,-17.1,,-5.7,,0,,,,,,,,26,,63,,0,,29.4,,50,,70,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.11,2022-01-11 00:00:00,ON,2022,1,11,-10.1,,-19.2,,-0.9,,0,,,,,,,,22,,63,,0,,28.1,,58,,85,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.12,2022-01-12 00:00:00,ON,2022,1,12,0.7,,-1,,2.3,,0,,,,,,,,21,,61,,0,,17.3,,63,,84,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.13,2022-01-13 00:00:00,ON,2022,1,13,0.3,,-0.8,,1.3,,0,,,,,,,,,M,,M,0,,17.7,,68,,95,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.14,2022-01-14 00:00:00,ON,2022,1,14,-8.9,,-17.7,,-0.1,,0,,,,,,,,4,,54,,0,,26.9,,37,,67,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.15,2022-01-15 00:00:00,ON,2022,1,15,-15.7,,-20,,-11.4,,0,,,,,,,,3,,45,,0,,33.7,,35,,79,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.1.16,2022-01-16 00:00:00,ON,2022,1,16,-5.7,,-11.8,,0.4,,2.5,,,,,,,,7,,42,,0,,23.7,,35,,95,
